SKU_HIJO,PRECIOS_RIPLEY_PRECIO_VENTA_CLP
ZZZ33850NEOLEDFOGBLUEPINK40,31990
ZZZ33753VIERASYELLOW40,38990
ZZZ32515UZIELJEANS41,42990
ZZZ32986DIONISIACOFFE37,69990
ZZZ32362LAYLABLACK38,22990
ZZZ32253MELLEABLACK40,32990
ZZZ33047MISUKICAMEL39,38990
ZZZ30736MIREYABLACK39,68990
ZZZ32286KOEMANKHAKI42,39990
ZZZ31201LUKYANGREY43,43990
LLL32364REAHCAMELCRISTAL42,119990
LLL32171SILENOCAFE39,85000
ZZZ32991EDESIABLACK35,79990
ZZZ33732LENABLACK41,50990
ZZZ31332LUNABEIGE37,17990
ZZZ32703RAFAELBLACK42,96990
ZZZ33828MILOSBLACK43,16990
ZZZ32300VIVIANCOFFEE35,59990
ZZZ33676AMANDACAQUI38,31990
ZZZ33412AIDEENBLACK36,28990
LINA10005GUMMYDORADOGLITER,20000
ZZZ31904JOTOBLACK39,44990
ZZZ33742KARIMCOFFEE43,62990
ZZZ32524ANTONIABLACK40,26990
ZZZ31430NEWGURAMIGREY37,38990
ZZZ33238BERNARDBLACK41,37990
ZZZ30778INCAFUCSIA38,39990
ZZZ33075JINNEGROLISO37,64990
ZZZ32474PAULAGOLD38,64990
ZZZ31560SPICABLACK40,51990
ZZZ32271LETIBLACK37,29990
ZZZ33735AKOSDARKBROWN41,62990
ZZZ30923CORVIWINE39,27990
ZZZ33057KAORICAMEL35,64990
ZZZ31871REXOCOFFEE41,92990
ZZZ32580ZURIRED41,37990
ZZZ32217LEIVAGREY39,48990
ZZZ30954CHITONREDBROWN43,42990
ZZZ32721NADINEBLACK39,65990
ZZZ33580LEIREBLACK42,47990
ZZZ30762MANEWHITE38,29990
ZZZ33408KATSUCAMEL36,54990
ZZZ33621NELFABROWN36,79990
ZZZ32302ALONSODBLUE41,39990
ZZZ33184CAMELIBLACK38,44990
ZZZ32500MABELBEIGE37,32990
LLL32282ARTEMISDESCOCONEGRO39,140000
ZZZ33349ROSALEENBROWN38,42990
ZZZ32912RAIZELBURDEO39,39990
ZZZ31120RAYENBLACK39,34990
LLL32250HELACAFE38,110000
ZZZ32627IRATIRED35,17990
ZZZ32239JORDINACAMEL39,32990
ZZZ33784SALMABROWN40,32990
ZZZ32839DEMETRIAGRAY40,48990
ZZZ33584SUDIBLUE41,42990
ZZZ31097SMARTRED43,21990
ZZZ30842BPSPINK36,44990
ZZZ32520ASUNCIONCHAMPAGNE40,16990
ZZZ32295DALINDAROJO40,24990
ZZZ32431LAYNABEIGE37,42990
ZZZ30999VAKONEGRO41,82000
ZZZ32405KUBRAWHITE44,40990
ZZZ32464TATIANAWHITE38,21990
ZZZ32542MONTSERRATLIGHTGREY39,32990
ZZZ31621ORBITBLACK39,29990
ZZZ32244JENNYBLACK36,52990
ZZZ31965KIRAWHITE41,34990
ZZZ33816ILIANBLACK41,40990
MB018209v03,7990
ZZZ32794YADIERBLUE43,44990
ZZZ33616MALEEKBLACK38,79990
LLL32264SIERRATOSTADO41,115000
ZZZ32218POLETTEBLACK39,26990
ZZZ31935ROMANEWINERED38,29990
AAA112ROBLENEGRO40,145000
ZZZ32340PAMECAMEL39,56990
ZZZ32168VEROCAMEL40,31990
ZZZ31022ALEXABLACK35,57990
ZZZ33174DANELLEWHITE35,57990
ZZZ31052TENGGERORANGE41,34990
ZZZ32185ALMYCAFE40,24990
ZZZ33783PRAGMABROWN38,29990
BBB106LASERENAROJO38,45000
ZZZ31507NEWMARCOSNAVY42,48990
ZZZ32231GUATAPEKHAKI43,47990
ZZZ32270PRISCACAMEL36,19990
ZZZ32290SIBILAGREY36,71990
ZZZ32781EITANKHAKI42,44990
ZZZ30934MONTUNOBROWN39,44990
ZZZ33186BIMBABLACK39,38990
ZZZ32366ARLEYSBLACK39,12990
LLL32358MESALINANEGROVOLT36,105000
ZZZ32535MARINABLUE37,59990
ZZZ32406EMINEBLACKGREY40,35990
ZZZ30747LUCERABROWN35,72990
ZZZ31613DONNABURDEO40,27990
ZZZ32152DARINBROWN43,50990
ZZZ33200BERILABLACK37,35990
PBB51794CELESTE,5990
ZZZ31263LUCYCAMEL38,68990
ZZZ31149MONTANAPURPLE39,32990
ZZZ32546GINETTEGREY41,32990
ZZZ32240RANIABLACK36,34990
ZZZ32970DAMARABLACK38,77990
ZZZ33096RUICAMEL36,65990
ZZZ31336GALAGOLD39,29990
ZZZ31238SAMARABLACK36,55990
ZZZ32295PAOLOBLACKRED42,39990
ZZZ32103REQUENAYELLOW38,27990
ZZZ31941DRISCUCOFFEE36,59990
ZZZ33254CLAUDEBLACKWHITE37,37990
ZZZ32262ARIADNAKHAKI39,19990
ZZZ32201MEIRAWHITE37,44990
ZZZ33198BELMAGREY36,38990
LLL32312FRINECOBRE35,127000
ZZZ31211REESEBLACK35,34990
LLL32410ARTEMISNEGROINFANTIL34,95000
ZZZ33200BERILABLACK41,35990
ZZZ33395DANELLABLACK39,57990
ZZZ31127YAYINAVY37,34990
SSS110COROLABLANCO38,36000
LLL32151REAHNEGRO39,120000
ZZZ33414AINEDARKBLUE36,26990
ZZZ31381VICTORBLACK42,31990
CAR32319CRISANTEMOCAFE45,80000
ZZZ31862BELTRANBLACK39,36990
ZZZ31766JULYBLACK35,64990
ZZZ33633BAKARIREDBROWN42,54990
ZZZ30411RAZOPRINTBLACK40,38990
ZZZ31034RYNEKLIGHTBLUE37,34990
ZZZ33456ADELLEWHITE36,39990
ZZZ31449ARONGREY40,24990
MB008600-25,6990
LLL32397MESALINAFUSEPELOCAFE37,140000
ZZZ31547FRESIABLACK40,59990
ZZZ33302BRADANCOFFEE41,97990
ZZZ33042HANABLACK38,34990
ZZZ30217MURANOBLACK41,29990
ZZZ33719KIBOAPRICOT38,52990
LLL32202VOLCANOFULLNEGRA45,69000
ZZZ32950ERWINBLACK41,62990
ZZZ31254PETRABLACK36,44990
LLL32383V004ROJO36,110000
ZZZ33724NEWKENYACOFFEE37,53990
ZZZ32143SEVERIWHITE37,59990
ZZZ31773NATOCOFFEE41,54990
ZZZ32212HELGENAVY40,17990
ZZZ33812FINISBLACK38,68990
ZZZ32491NEUSGREY39,38990
ZZZ33389ISLEENCAMEL41,24990
ZZZ33682DINOBLUE29,17990
ZZZ32373GIANNACAMEL41,12990
ZZZ33505COLINROJO27,15990
ZZZ32971DAMARACOFFE36,77990
ZZZ33212BETINABEIGE36,28990
LLL32138NARVALNEGROBLAN39,75000
ZZZ32141PEPBROWN43,62990
ZZZ30900RIGELNAVY44,44990
ZZZ32481MENCIABEIGEBLACK39,29990
ZZZ33618DAHIABLACK37,74990
ZZZ31116CLOTILDEBLACK37,32990
ZZZ32810AMATISTABLACK37,49990
ZZZ32178LUCIANABLACK40,42990
ZZZ31151CARLYPURPLE35,29990
ZZZ32292RIOJAROJO40,24990
LLL31699ARTEMISANEGRO35,85000
ZZZ31842LONGIRLCOFFEE39,42990
ZZZ32210GRACEBLUE39,33990
ZZZ31177CATUBLACK37,18990
ZZZ31882TOTALLYBLACK38,29990
LINA10018BUTTONAQUABEIGE,20000
ZZZ31024ALEXACAMEL37,42990
ZAM1005ASTROROJA44,120000
AAA100SAUCONEGRO39,115000
ZZZ31629MEZENBLACK42,37990
ZZZ33676AMANDACAQUI36,31990
ZZZ33143SAIKOBLACKCHAROL33,54990
ZZZ33814GAGABLACK39,25990
ZZZ32273LEIAKHAKI39,26990
ZZZ32161THAISNAV37,26990
ZZZ33051MEICARAMEL38,66990
ZZZ33231ANDREROYAL41,35990
ZZZ30948NUNYSHAKEWINERED37,42990
ZZZ32581CRISTINABLUE37,12990
ZZZ33814GAGABLACK38,25990
ZZZ31974CURCUBLACK36,29990
ZZZ32297ZULEMABLACK39,50990
ZZZ33748AMINAYELLOW41,29990
ZZZ32021ACIARED41,29990
ZZZ32320LIMONARCAMEL40,43990
ZZZ32307NICOLECAMEL39,50990
ZZZ33388ISLEENBLACK37,24990
ZZZ31777CLIMBBLACK38,44990
ZZZ32635ESMERALDAWHITE39,19990
ZZZ33517CILLIANBLACK45,40990
ZZZ32286ELEONORBLACK37,26990
LLL32424RINHONEGROCRISTAL41,120000
ZZZ33389ELOISEBLACK35,77990
ZZZ32573SEBASTIANBLUE43,12990
ZZZ31296ROCKSRED41,21990
ZZZ33852AIRENEALLBLACK37,33990
ZZZ32411ASTRIDWHITE38,40990
ZZZ31909MARIEBLACK39,49990
ZZZ33419ANASTASIEBLACKGREY39,38990
ZZZ33638BARBARABLACKGREY36,38990
ZZZ31983DIVINEBLACK37,31990
ZZZ32616ARYABROWN35,16990
ZZZ32374MIKEYLABLACK37,22990
LLL32155ARTEMISIIMORO40,87000
ZZZ33230OLIVIERBLACK39,35990
ZZZ31303LIABLACK38,28990
ZZZ32169GIULIAMAROON39,26990
ZZZ32185RUBENBLACK40,48990
ZZZ33076JUNBLACKGAMUZA39,58990
ZZZ32112ROCHBLACK37,27990
LLL32128ASTRUMWAZUL40,85000
ZZZ33171CACILEBLACK39,67990
ZZZ33560DONKORBLUE44,42990
ZZZ33776CHIARABROWN40,34990
ZZZ32454GEORGEBLACK43,62990
ZZZ33402FERNANDENEGRO40,79990
ZZZ30422KANSASBLACK42,35990
ZZZ32422DEVABLACK37,42990
ZZZ33317CADHLAORANGE39,47990
ZZZ32826SIGRIDBLACK38,40990
ZZZ33599SAYOKOBROWN36,84990
ZZZ30758IGNACIOBROWN41,84990
ZZZ31434NEWRAZOPRINTSILVE38,38990
ZZZ32888SAORIGRAY35,24990
ZZZ32339ANDRIKHAKI35,59990
ZZZ33538ITZAEBLACK37,34990
