SKU BASE,Suma de Cantidad,Año,Mes
ZZZ30096NEVADABLACK,1,2024,enero
ZZZ30190CHARLESKHAKI,2,2024,enero
ZZZ30217MURANOBLACK,1,2024,enero
ZZZ30218SENZILLBLACK,2,2024,enero
ZZZ30219ARABICBLACK,2,2024,enero
ZZZ30227TUSIBLACK,1,2024,enero
ZZZ30236LORETOBEIGE,1,2024,enero
ZZZ30237SONIABLACK,4,2024,enero
ZZZ30317RAZORED,4,2024,enero
ZZZ30318RAZOBEIGE,2,2024,enero
ZZZ30320GURAMIGREY,1,2024,enero
ZZZ30321GURAMIWHITE,1,2024,enero
ZZZ30322ARLEQUINBLACK,1,2024,enero
ZZZ30323ARLEQUINRED,1,2024,enero
ZZZ30324ARLEQUINCAMEL,1,2024,enero
ZZZ30326CARDENALRED,4,2024,enero
ZZZ30338COLOMBAWHITE,31,2024,enero
ZZZ30340MALEGREY,7,2024,enero
ZZZ30341MALEYELLOW,11,2024,enero
ZZZ30375ORTIGACAMEL,1,2024,enero
ZZZ30379GALEONBLACK,2,2024,enero
ZZZ30383FARLINEGREY,1,2024,enero
ZZZ30392GERONIMABROWN,1,2024,enero
ZZZ30411RAZOPRINTBLACK,1,2024,enero
ZZZ30413RAZOPRINTSILVER,3,2024,enero
ZZZ30422KANSASBLACK,6,2024,enero
ZZZ30500MICHOBLACK,1,2024,enero
ZZZ30507GABYPINK,1,2024,enero
ZZZ30530MICHOBROWN,5,2024,enero
ZZZ30532MULEBLACK,15,2024,enero
ZZZ30533MULEYELLOW,3,2024,enero
ZZZ30534MULENAVY,10,2024,enero
ZZZ30565LUEBLUE,2,2024,enero
ZZZ30598GABYBABYBLACKWHITE,1,2024,enero
ZZZ30608JANONAVY,1,2024,enero
ZZZ30620SIMIOBEANSAND,4,2024,enero
ZZZ30621SIMIOBLACK,2,2024,enero
ZZZ30702ALMOSTPINK,1,2024,enero
ZZZ30709JOACOBROWN,1,2024,enero
ZZZ30711JOACOWINE,2,2024,enero
ZZZ30739NINACAMEL,1,2024,enero
ZZZ30748LUCERABLACK,2,2024,enero
ZZZ30753MILLARAYBLACK,2,2024,enero
ZZZ30757IGNACIOBLACK,8,2024,enero
ZZZ30758IGNACIOBROWN,3,2024,enero
ZZZ30762MANEWHITE,12,2024,enero
ZZZ30769MARCOSBLACK,1,2024,enero
ZZZ30770MARCOSNAVY,1,2024,enero
ZZZ30773MEDMENBLACKWHITE,7,2024,enero
ZZZ30780INCAGREYPINK,1,2024,enero
ZZZ30781INCABEIGEPINK,1,2024,enero
ZZZ30782INCABEIGEBLUE,1,2024,enero
ZZZ30799GLENKHAKI,1,2024,enero
ZZZ30806DOGONKHAKI,1,2024,enero
ZZZ30807DOGONBROWN,2,2024,enero
ZZZ30818NUNYSHAKEBLACK,2,2024,enero
ZZZ30821NEWCOLOMBALLBLACK,15,2024,enero
ZZZ30823NEWCOLOMBABLACK,1,2024,enero
ZZZ30841CHAIBLACK,3,2024,enero
ZZZ30844MARCOSBROWN,3,2024,enero
ZZZ30845MICKELGREY,1,2024,enero
ZZZ30863KALIBLACK,2,2024,enero
ZZZ30864KALIKHAKI,1,2024,enero
ZZZ30877ISABLACK,1,2024,enero
ZZZ30889PANELLBROWN,5,2024,enero
ZZZ30893ROMINITABLACK,1,2024,enero
ZZZ30894ROMINITABEIGE,2,2024,enero
ZZZ30906LYRACAMEL,1,2024,enero
ZZZ30917CIRRIREDWINE,1,2024,enero
ZZZ30922CORVIBLACK,5,2024,enero
ZZZ30926REGENNAVY,2,2024,enero
ZZZ30927REGENWINERED,1,2024,enero
ZZZ30936MONTUNOBLACK,2,2024,enero
ZZZ30937TROMBABLACK,1,2024,enero
ZZZ30940MOZONBROWN,2,2024,enero
ZZZ30943REGENBLACK,3,2024,enero
ZZZ30962ELLISBRONZE,1,2024,enero
ZZZ30964CATERINABRONZE,2,2024,enero
ZZZ30965NAGINICAMEL,3,2024,enero
ZZZ30966NAGINIBLACK,2,2024,enero
ZZZ30974PETYLILA,4,2024,enero
ZZZ30975PETYBLACK,1,2024,enero
ZZZ30987AITORBLACK,1,2024,enero
ZZZ30999VAKONEGRO,1,2024,enero
ZZZ31000VAKOCAOBA,1,2024,enero
